MATERIAL ID,DESCRIPTION,MONTH/YEAR,FORECASTING FOR NEXT MONTH
10000675,A01112-CHIP CONV CTRL BOX-16PIN(0.37KW),Feb-25,14
10001663,STD CABINET-FANUC BETA-B12 (M11/M30),Feb-25,48
10002664,A01112-CHIP CONV. CTRL BOX-(0.37KW),Feb-25,7
10003569,CB-IP1-0525_SKB-M11,Feb-25,14
10003752,CB-SF02-0650_SPINDLE FEEDBACK-STD,Feb-25,32
10003767,CB-SP01-100625_SPINDLE POWER-M11-10SQ,Feb-25,21
10003802,CB-XF02-0525_X-AXIS FEEDBACK-400,Feb-25,141
10003891,CB-ZF02-0500_Z-AXIS FEEDBACK-400,Feb-25,28
10014497,A01112-HYD JUNCTION BOX WIRING-24PIN,Feb-25,53
10022181,CB-XP01-20500_X-AXIS POWER-400,Feb-25,134
10022203,CB-ZP01-40475_Z-AXIS POWER-400,Feb-25,32
20000938,BEARING HOUSING SET OF C37-0103/C37-0153,Feb-25,182
20000942,BEARING HOUSING SET C37-0119/C37-0155,Feb-25,37
20000944,PLATE BUTTING,Feb-25,17
20001295,BLOCK GUIDE,Feb-25,37
20001406,BLOCK HEIGHT,Feb-25,150
20001421,BLOCK HEIGHT 150 MM HEIGHT BLOCK,Feb-25,20
20001422,BLOCK HEIGHT,Feb-25,24
20001423,BLOCK HEIGHT 25MM,Feb-25,78
20001435,BLOCK HEIGHT,Feb-25,39
20001456,HEIGHT BLOCK,Feb-25,11
20002507,BLOCK NUT MOUNTING,Feb-25,91
20003401,BRACKET MOTOR MTGWT,Feb-25,340
20004510,BRACKET MOUNTING,Feb-25,14
20005261,BRACKET MTG-ATC-24TOOL-WITH KEY WAY,Feb-25,56
20005366,BRACKET GENERAL-LIFTING BKT-540V,Feb-25,66
20005570,BRACKET ATC MOUNTING,Feb-25,6
20005657,BRACKET MOTOR MOUNTING,Feb-25,143
20005668,BRACKET MOTOR MOUNTING-DD DIA 70,Feb-25,44
20005926,BRACKET GENERAL - LIFTING,Feb-25,60
20006309,BRACKET (LIFTING BRACKET-RH),Feb-25,17
20006351,BRACKET M/C LIFTING LH,Feb-25,17
20006459,BRACKET-LH,Feb-25,29
20008050,COVER END D 70 DD/ID CTS/NCTS SCA,Feb-25,77
20008731,FLANGE COVER,Feb-25,40
20008749,FLANGE COVER,Feb-25,68
20008799,FLANGE COVER D 70 DD/ID CTS/NCTS SCA,Feb-25,83
20009123,FLANGE LOCATING,Feb-25,55
20009226,FLANGE GUIDE,Feb-25,39
20009896,RACK,Feb-25,6
20010173,HOUSING BEARING-ME,Feb-25,123
20010180,HOUSING BEARING-ME,Feb-25,29
20010181,HOUSING BEARING-BE,Feb-25,29
20010287,HOUSING BEARING,Feb-25,29
20010288,HOUSING BEARING-BE,Feb-25,29
20010503,HOUSING CATRIDGE,Feb-25,8
20010532,HOUSING CARTRIDGE,Feb-25,16
20010554,HOUSING CARTRIDGE,Feb-25,24
20010561,HOUSING CARTRIDGE,Feb-25,19
20010697,HOUSING CYLINDER,Feb-25,69
20010735,HOUSING ROTARY,Feb-25,0
20010904,HOUSING HEADSTOCK,Feb-25,15
20010913,HOUSING HEAD STOCK,Feb-25,0
20010947,HOUSING HEADSTOCK-DIA70/DIA80,Feb-25,5
20010962,HOUSING HEAD STOCK,Feb-25,56
20010982,HOUSING HEAD STOCK,Feb-25,4
20010987,HOUSING HEAD STOCK (1690V-BT50),Feb-25,0
20011010,HOUSING HEAD STOCK (1060V-40),Feb-25,15
20011166,HOUSING BEARING BALLSCREW ME,Feb-25,63
20011782,ACTUATOR-HSK-A63,Feb-25,16
20012041,PISTON,Feb-25,44
20012603,PLATE KEEPER,Feb-25,35
20013022,PLATE MOUNTING,Feb-25,34
20013024,PLATE MOUNTING,Feb-25,11
20013348,PLATE RECIEVER,Feb-25,5
20014022,PLATE MOUNTING,Feb-25,78
20014208,PLATE MOUNTING,Feb-25,10
20014217,PLATE MOUNTING,Feb-25,75
20015406,ROD DRAWBAR,Feb-25,30
20015417,ROD DRAW BAR,Feb-25,38
20015642,STRUCTURE SADDLE,Feb-25,0
