Material,Qty in unit of entry
10014497,12
20000944,6
20001422,8
20002507,8
20002507,12
20005261,3
20005926,7
20010962,1
20010962,5
20010962,1
20011010,4
20020652,1
20023878,3
20053267,4
20053850,1
20054001,6
20054404,4
20054404,5
20066736,-2
20066736,10
20067163,40
30002615,10
30002627,50
30011641,6
38000003,16
10000675,5
10000675,5
10002664,10
10003752,40
20000938,45
20001423,60
20001435,38
20003401,2
20003401,76
20005261,4
20006309,2
20006309,6
20008050,60
20008050,3
20008799,1
20008799,90
20010697,44
20010904,3
20010904,4
20010962,1
20010982,3
20012041,22
20020652,3
20050803,86
20050803,1
20050803,11
20050803,1
20050808,4
20050885,87
20050885,12
20050890,4
20052650,10
20052650,15
20052650,15
20053770,1
20066736,20
20066940,30
20067143,20
20067163,40
20067420,13
20067420,20
30000300,11
30011746,10
20000942,20
20005261,4
20005657,50
20005657,41
20009123,30
20010532,28
20010532,3
20010554,10
20010904,4
20010987,1
20012603,24
20013024,20
20014022,25
20053658,2
20053658,4
20053658,3
20053658,1
20054043,6
20058589,30
20067043,5
20067195,6
20098263,10
20098306,10
30000505,12
30002092,14
30011714,25
30011753,20
38001168,20
10003891,20
20002507,31
20006459,17
20009226,30
20049060,35
20054001,1
20054001,5
20060716,5
20060716,5
20064033,5
20064033,5
20066757,20
20067420,27
30000352,8
30000505,2
30003169,9
30018257,50
20000938,30
20001422,2
20001422,10
20002507,20
20008731,30
20010180,12
20010181,12
20010904,1
20012603,12
20013022,28
20013348,1
20050803,3
20053323,2
20053323,3
20053324,1
20053658,3
20053770,1
20053770,1
20053837,2
20053837,2
20053837,2
20054409,3
20066736,2
20066940,10
30000352,2
30000505,8
30003594,12
30004303,50
30011663,10
30011753,20
10003767,10
10003802,30
20001406,76
20001456,2
20003401,54
20004510,6
20005261,4
20005366,21
20005668,32
20005926,26
20011166,54
20020652,1
20023878,2
20023878,2
20023878,10
20023878,20
20023878,-2
20053267,6
20053658,3
20053770,2
20053837,1
20054404,5
30000505,12
30011663,10
30011714,25
30016385,200
30016403,25
10003802,30
10022181,80
20000942,11
20010532,30
20010962,1
20011010,2
20011010,6
20012603,12
20020652,12
20053658,2
20058589,26
30000505,10
30001639,200
30001644,20
30001644,20
30001644,-20
30004304,50
30004650,15
30009753,20
30012201,2
30012201,3
10000675,5
20000938,26
20006351,5
20010735,4
20010904,3
20010962,5
20010962,5
20010962,1
20010962,4
20010982,2
20023878,18
20053658,2
20053658,2
20053658,4
20053850,1
20054074,5
20054404,1
20054409,3
20066736,20
20067163,40
20098191,15
20098263,15
20098263,5
30000505,6
30002148,4
30002495,27
38000026,9
38001168,15
10003569,5
20000938,18
20004510,5
20005261,6
20010287,13
20010288,13
20010982,5
20012603,4
20020652,10
20053658,3
20053658,4
20053658,3
20053985,2
20053985,1
20054074,2
20067310,7
20067311,7
20067312,14
20098306,10
30000211,25
30000300,5
30000300,10
30002627,60
30005697,38
30017005,60
20000942,15
20010962,4
20011010,2
20013348,2
20020652,3
20020652,1
20023878,6
20023878,1
20053658,2
20053658,4
20053985,7
20054074,2
20054074,2
20054409,3
20058589,57
20060729,3
20060729,1
20066940,20
20079853,30
20098191,10
20098263,10
20098306,5
30000505,4
30018259,80
30018480,90
20000938,28
20000938,28
20000942,5
20005657,50
20010532,11
20010982,2
20010982,2
20012603,8
20014217,27
20020652,20
20049060,30
20053658,4
20053658,4
20053658,4
20053658,4
20053770,2
20053770,1
20053985,2
20054090,2
20054404,3
20054409,5
20054409,1
20066757,20
20067163,10
20067310,5
