Time Id,Material ID,Material_Description,Consumed_Quantity
1,10002664,A01112-CHIP CONV. CTRL BOX-(0.37KW),5
1,10003569,CB-IP1-0525_SKB-M11,132
1,10003752,CB-SF02-0650_SPINDLE FEEDBACK-STD,120
1,10003767,CB-SP01-100625_SPINDLE POWER-M11-10SQ,77
1,10003802,CB-XF02-0525_X-AXIS FEEDBACK-400,127
1,10003891,CB-ZF02-0500_Z-AXIS FEEDBACK-400,113
1,10022181,CB-XP01-20500_X-AXIS POWER-400,126
1,10022203,CB-ZP01-40475_Z-AXIS POWER-400,120
1,20000944,PLATE BUTTING,26
1,20001295,BLOCK GUIDE,52
1,20001406,BLOCK HEIGHT,66
1,20001421,BLOCK HEIGHT 150 MM HEIGHT BLOCK,14
1,20001422,BLOCK HEIGHT,28
1,20001423,BLOCK HEIGHT 25MM,74
1,20001435,BLOCK HEIGHT,18
1,20001456,HEIGHT BLOCK,10
1,20002507,BLOCK NUT MOUNTING,27
1,20003401,BRACKET MOTOR MTGWT,249
1,20004510,BRACKET MOUNTING,9
1,20005570,BRACKET ATC MOUNTING,23
1,20005657,BRACKET MOTOR MOUNTING,144
1,20005668,BRACKET MOTOR MOUNTING-DD DIA 70,29
1,20005926,BRACKET GENERAL - LIFTING,47
1,20006309,BRACKET (LIFTING BRACKET-RH),20
1,20006351,BRACKET M/C LIFTING LH,18
1,20006459,BRACKET-LH,25
1,20008731,FLANGE COVER,11
1,20008749,FLANGE COVER,30
1,20009896,RACK,13
1,20010173,HOUSING BEARING-ME,316
1,20010180,HOUSING BEARING-ME,4
1,20010181,HOUSING BEARING-BE,4
1,20010287,HOUSING BEARING,56
1,20010288,HOUSING BEARING-BE,55
1,20010503,HOUSING CATRIDGE,1
1,20010532,HOUSING CARTRIDGE,9
1,20010697,HOUSING CYLINDER,29
1,20010735,HOUSING ROTARY,4
1,20010904,HOUSING HEADSTOCK,12
1,20010913,HOUSING HEAD STOCK,18
1,20010947,HOUSING HEADSTOCK-DIA70/DIA80,24
1,20010962,HOUSING HEAD STOCK,2
1,20011166,HOUSING BEARING BALLSCREW ME,95
1,20011782,ACTUATOR-HSK-A63,9
1,20012041,PISTON,26
1,20012603,PLATE KEEPER,56
1,20013022,PLATE MOUNTING,23
1,20013024,PLATE MOUNTING,19
1,20013348,PLATE RECIEVER,6
1,20014022,PLATE MOUNTING,69
1,20014208,PLATE MOUNTING,23
1,20014217,PLATE MOUNTING,3
1,20015406,ROD DRAWBAR,11
1,20015417,ROD DRAW BAR,48
1,20015642,STRUCTURE SADDLE,1
1,20015679,STRUCTURE SADDLE,1
1,20015699,STRUCTURE SADDLE,14
1,20020652,SHEET GUARD 24TOOL ATC TOP,40
1,20023878,SHEET GUARD-24T ATC GRD TOP,86
1,20049060,SHEET POLYCARBONATE 24TOOL ATC,48
1,20050803,SPACER CYLINDRICAL-INNER,63
1,20050808,SPACER CYLINDRICAL-INNER,56
1,20050885,SPACER CYLINDRICAL-OUTER,64
1,20050890,SPACER CYLINDRICAL-OUTER,57
1,20052650,SPINDLE D70 BBT40,11
1,20053217,STRUCTURE COLUMN,40
1,20053267,STRUCTURE COLUMN,25
1,20053323,STRUCTURE GEN LOADING STATION BOTTOM,2
1,20053324,STRUCTURE GEN LOADING STATION-TOP,2
1,20053593,STRUCTURE BASE [MCH-630],1
1,20053632,STRUCTURE BASE,2
1,20053658,STRUCTURE BASE,29
1,20053715,STRUCTURE BASE (MCH-500L WEDGE TYPE),2
1,20053726,STRUCTURE BASE,5
1,20053733,STRUCTURE BASE,11
1,20053737,STRUCTURE BASE-LAPC,3
1,20053739,STRUCTURE BASE-LAPC,9
1,20053763,STRUCTURE BASE-LAPC,4
1,20053770,STRUCTURE BASE,16
1,20053786,STRUCTURE BASE-R.APC INTEGRAL BASE,1
1,20053789,STRUCTURE_BASE_M540V CFR,14
1,20053795,STRUCTURE BASE,1
1,20053808,STRUCTURE BASE,1
1,20053936,STRUCTURE COLUMN,2
1,20053952,STRUCTURE COLUMN,2
1,20053964,STRUCTURE COLUMN,1
1,20053965,STRUCTURE COLUMN,14
1,20053966,STRUCTURE COLUMN,4
1,20054043,STRUCTURE SADDLE,61
1,20054045,STRUCTURE SADDLE,22
1,20054335,TABLE,15
1,20054404,TABLE,11
1,20058134,TUBE COOLANT-FLOOD COOLANT,52
