Material ID,Material Description
38000326,"CNC PKG MCH-630 NEW SPIA22/8K,PFBM,BZI"
38000628,"FANUC CNC PKG (G1F+A22 0I-MF PLUS 10.4"""
20053593,STRUCTURE BASE [MCH-630]
38000492,FANUC PKG (G1F+AT8 PLUS TYPE1 SPM22+FP)
38000200,CNC PKG (G1F+B12 ALPHA 0I-MF PLUS TYPE1)
20053867,STRUCTURE BASE (M41-005 SPL)
38000114,"CNC PKG (S4NEW HS PPU241.3(SW),BUFFER MO"
38000493,FANUC PKG (F24F PLUS TYPE1+FP)
38000939,"CNC PKG 828D (S4NEW PPU241.3(SW),10KRPM"
38000950,"828D CNC PKG S6 PPU241.3 (SW), BUFFER MO"
38000412,CNC PKG (F4F TYPE1 PLUS +FP+MACRO+FM)
38000132,CNC PKG_1690V-M80A 37.2/37.2/49NM-DN18.5
38000010,CNC PKG(F11F+A22/8K PLUS TYPE3+PROFINET
38000501,FANUC CNC PKG(F11F+A22/8K PLUS TYPE3+FP)
20053795,STRUCTURE BASE
20053843,STRUCTURE BASE (M43-033 ONWARDS) OLD TT
20053715,STRUCTURE BASE (MCH-500L WEDGE TYPE)
38000097,CNC PKG_1690V-M80A 37.2/37.2/49NM-D15
38000137,PART SHIPMENT OF F11F+A22 PKG W/O B40B R
38000301,"CNC PKG (S5NEW PPU261.3(SW) , BUFFER MOD"
20053798,STRUCTURE BASE (122T ATC &M04 LOW COST )
20053787,STRUCTURE BASE-L.APC
38000122,CNC PKG (F11F SPL 0I-MF PLUS TYPE3 A50B/
20053799,STRUCTURE BASE
38000113,"CNC PKG (S1NEW HS PPU241.3(SW),BUFFER MO"
38000673,CNC PKG (F8FNEW 0I-MF PLUS TYPE3 RBB)
38000431,FANUC CNC PKG(F7F+AT8 PLUS TYPE1+FP+MAC)
38000125,"CNC PKG (S1NEW PPU261.3(SW),BUF,W/O MPG)"
20059733,STURCTURE BASE
20053876,STRUCTURE BASE (M49 WITH M77 COLUMN)
38000446,CNC PKG (S2 PPU261.3 W/O MPG/1N. I/O CAR
38000444,CNC PKG (S0 PPU241.3 W/O MPG/1N. I/O CAR
38000554,"CNC PKG (F6F+AT6 PLUS TYP3,24K,FP,MACRO,"
38001730,CNC PKG (F10F+AT8 PLUS VERTICAL TYPE3+FP
30000865,ROTARY TABLE-NIKKEN-CNC-321BFA
38000307,CNC PKG (S1 SPL 11/16.5 PPU241.3(SW) W/O
20053964,STRUCTURE COLUMN
20053850,STRUCTURE BASE
38000028,"CNC PKG (M5SPL AVU 5.5/3.57KW,20KRPM,10."
20015642,STRUCTURE SADDLE
38000246,CNC PKG (F7FSPL SPI B6/12K OI-MF PLUS TY
38000314,"CNC PKG (F10F PLUS TYPE1,24K,FP,MACRO,FM"
38000129,CNC PKG F14F+AT2/20K PLUS TYPE3 VERTICA
38000027,"CNC PKG (M5SPL AVU 7.5/5.5KW,12KRPM,10.4"
38000332,"CNC PKG (M7B 15/11/7.5 12K 10.4""W/O MPG,"
38000116,CNC PKG F14F+A2/20K PLUS TYPE3 VERTICAL
38000318,CNC PKG (F10F+A12 OIMF PLUS TYPE3)
38000421,"CNC PKG (M8A 11/7.5,10.4"" TS,W/O MPG,I/O"
38000484,"CNC PKG (M8B 11/7.5,10.4"" TS,W/O MPG,I/O"
38000460,"CNC PKG (M8A 11/15 8K 10.4"" W/O MPG I/O"
38000462,"CNC PKG (M7A 11/15,10.4""TS W/O MPG I/O)"
20054006,STRUCTURE COLUMN (1690V)
38000453,"CNC PKG (M7A 11/7.5 12K 10.4""W/O MPG,I/O"
20053936,STRUCTURE COLUMN
20053955,STRUCTURE COLUMN
38000003,"CNC PKG (F16F+B4IS+AISV20 PLUS TYP3,24K,"
20053808,STRUCTURE BASE
38000304,"CNC PKG (F14F PLUS TYP3 18I,24K,FP W/O A"
38000411,"CNC PKG (F14F PLUS TYPE3 W/O MPG,24K,FP)"
38000410,"CNC PKG (F16F PLUS TYP3,24K,FP,MACRO,FM)"
20053786,STRUCTURE BASE-R.APC INTEGRAL BASE
20053242,STRUCTURE COLUMN
20053797,STRUCTURE BASE
20053833,STRUCTURE BASE
38000712,FANUC CNC PKG (F17FNEW PLUS TYPE3 SPI B3
38000026,CNC PKG (F17FNEW PLUS TYP5 SPIB6 VERTICA
30000867,SUPPORT TABLE TAT 321 WITH 8 NOS. OF T
20054299,TABLE
20054028,STRUCTURE COLUMN(FOR M49)WCB
20054090,STRUCTURE SADDLE
20053837,STRUCTURE BASE
20054026,STRUCTURE COLUMN-LM GW LINEAR SCALE
20053726,STRUCTURE BASE
30009274,OMP40-2 PROBE KIT BT50 CONSIST OF HK-020
20015679,STRUCTURE SADDLE
20053632,STRUCTURE BASE
20053739,STRUCTURE BASE-LAPC
20054001,STRUCTURE COLUMN
