Material,Supplier/Supplying Plant,Still to be delivered (qty)
20020652,1016957    Excellent Laser Tech,3
20020652,1015147    Aegis Manufacturing Systems,6
30002495,1017396    Rajamane Industries Pvt. Ltd.,100
30002496,1017396    Rajamane Industries Pvt. Ltd.,50
30016988,1015422    Kabel Corporation,100
20054404,1014785    Aarav Engineering,1
20020652,1015147    Aegis Manufacturing Systems,1
20023878,1015147    Aegis Manufacturing Systems,20
38000453,1014837    Mitsubishi Electric India,2
38000460,1014837    Mitsubishi Electric India,1
30000300,1014980    Unique Products,20
20054074,1015169    AMS Bhargava Machining Pvt. Ltd.,4
20010982,1015169    AMS Bhargava Machining Pvt. Ltd.,5
20053267,1015169    AMS Bhargava Machining Pvt. Ltd.,20
20053770,1014697    AMS Bhargava Machining Pvt. Ltd.,10
20053873,1014697    AMS Bhargava Machining Pvt. Ltd.,3
20010904,1014578    Eva Technologies,12
20053833,1015501    Hadinakal Systems,5
20000942,1017395    Dynamic Systems,40
20011010,1014688    Progressive Systems,4
20053985,1014688    Progressive Systems,6
20004510,1014688    Progressive Systems,8
20053837,1015169    AMS Bhargava Machining Pvt. Ltd.,5
20053715,1005196    Ace Multi Axes Systems Ltd.,2
30018257,1014882    Advance Cooling Systems Pvt Ltd,40
30018259,1014882    Advance Cooling Systems Pvt Ltd,70
20049060,1014741    Graphic Innovations,140
20049060,1015410    V A Corporation,70
20098306,1015448    E-Power System Solutions Pvt Ltd,10
20098191,1017423    T S International,21
20020652,1015147    Aegis Manufacturing Systems,6
20020652,1015147    Aegis Manufacturing Systems,12
20020652,1016957    Excellent Laser Tech,3
20053770,1015169    AMS Bhargava Machining Pvt. Ltd.,4
20054074,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20005657,1017395    Dynamic Systems,62
20001456,1014785    Aarav Engineering,50
20049060,1014741    Graphic Innovations,40
20023878,1015280    Sri Sai Industries Unit-1,6
30001640,1016866    NSK Bearing India Pvt Ltd,400
20053658,1014688    Progressive Systems,10
20010561,1017018    Concentra Precision Technologies,1
20010532,1014598    Ams Precision Products Pvt Ltd,11
20023878,1015147    Aegis Manufacturing Systems,2
20054090,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20066736,1016726    Sur Armour Pvt Ltd,9
20067163,1016726    Sur Armour Pvt Ltd,8
30006433,1017135    Fluid Logic Systems Pvt Ltd,25
20053658,1015169    AMS Bhargava Machining Pvt. Ltd.,6
20053658,1015169    AMS Bhargava Machining Pvt. Ltd.,10
20053985,1014688    Progressive Systems,2
20020652,1015147    Aegis Manufacturing Systems,6
20001456,1014785    Aarav Engineering,2
20058589,1017253    P N P Industries,102
30011663,1014639    Miki Pulley India Pvt Ltd,10
30011713,1014639    Miki Pulley India Pvt Ltd,20
30011753,1014639    Miki Pulley India Pvt Ltd,50
30000505,1014973    Pragati Automation Pvt. Ltd.,100
30002034,1014934    THK India Pvt. Ltd.,10
30002033,1014934    THK India Pvt. Ltd.,10
30002047,1014934    THK India Pvt. Ltd.,10
30001885,1014934    THK India Pvt. Ltd.,100
30002033,1014934    THK India Pvt. Ltd.,100
30002047,1014934    THK India Pvt. Ltd.,100
30001885,1014934    THK India Pvt. Ltd.,40
30002033,1014934    THK India Pvt. Ltd.,40
30002047,1014934    THK India Pvt. Ltd.,40
30002039,1014934    THK India Pvt. Ltd.,20
30002013,1014934    THK India Pvt. Ltd.,20
30002005,1014934    THK India Pvt. Ltd.,20
30002013,1014934    THK India Pvt. Ltd.,10
30002005,1014934    THK India Pvt. Ltd.,10
20009123,1014590    GK Industries,35
20003401,1015202    Accutech Cnc,157
20009123,1014590    GK Industries,13
20009226,1014590    GK Industries,14
20050890,1014590    GK Industries,5
30000352,1015147    Aegis Manufacturing Systems,1
38000026,1016828    Fanuc India Pvt Ltd,50
38001730,1016828    Fanuc India Pvt Ltd,5
20067001,1016312    Sahara Solutions,25
20067117,1016312    Sahara Solutions,20
20060720,1014820    M P P Technologies Pvt Ltd,10
20063596,1014820    M P P Technologies Pvt Ltd,10
20063599,1014820    M P P Technologies Pvt Ltd,10
20064033,1014820    M P P Technologies Pvt Ltd,10
20005261,1014688    Progressive Systems,36
20010987,1014688    Progressive Systems,2
20023878,1015280    Sri Sai Industries Unit-1,6
20054074,1015169    AMS Bhargava Machining Pvt. Ltd.,3
20010962,1015169    AMS Bhargava Machining Pvt. Ltd.,9
20010982,1015169    AMS Bhargava Machining Pvt. Ltd.,5
20053737,1014697    AMS Bhargava Machining Pvt. Ltd.,1
20053952,1015169    AMS Bhargava Machining Pvt. Ltd.,5
30000352,1015147    Aegis Manufacturing Systems,29
20054043,1014688    Progressive Systems,12
10002664,1014720    Lakshmi Controls & Instruments,20
20054404,1014688    Progressive Systems,20
20011010,1014688    Progressive Systems,3
20004510,1014688    Progressive Systems,3
20010561,1017018    Concentra Precision Technologies,30
30004303,1016538    Precision Engineering Accessories,10
30004304,1016538    Precision Engineering Accessories,50
20053658,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20010173,1014701    Unique Cnc Technologies,3
20014022,1014568    M K Industries,142
20014217,1014568    M K Industries,202
20012603,1014796    Sharath Engineering,92
20013022,1014796    Sharath Engineering,112
20013024,1014796    Sharath Engineering,38
20013348,1014796    Sharath Engineering,14
20010982,1015169    AMS Bhargava Machining Pvt. Ltd.,1
30005754,1015584    Festo India Private Limited,805
20009123,1014590    GK Industries,4
20012041,1014590    GK Industries,5
20050885,1014590    GK Industries,2
20008050,1014590    GK Industries,112
20008731,1014590    GK Industries,29
20008749,1014590    GK Industries,26
20008799,1014590    GK Industries,46
20050803,1014590    GK Industries,54
20050885,1014590    GK Industries,62
20012041,1014590    GK Industries,27
20010697,1014590    GK Industries,41
20054043,1015803    Amace Solutions Pvt. Ltd.,1
20000944,1015512    SRS Tools,10
20002507,1017395    Dynamic Systems,100
20015674,1015803    Amace Solutions Pvt. Ltd.,1
30005501,1015584    Festo India Private Limited,40
20053837,1014697    AMS Bhargava Machining Pvt. Ltd.,2
20054409,1014688    Progressive Systems,3
20054043,1014688    Progressive Systems,6
20023878,1015280    Sri Sai Industries Unit-1,6
20053770,1015169    AMS Bhargava Machining Pvt. Ltd.,14
20015417,1014590    GK Industries,1
30002495,1017396    Rajamane Industries Pvt. Ltd.,105
30002496,1017396    Rajamane Industries Pvt. Ltd.,34
10014497,1015072    Sri Balaji Solutions,165
30011641,2000174    Tedisa-Tecnicas De Division,14
20053850,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20060716,1014820    M P P Technologies Pvt Ltd,5
20063596,1014820    M P P Technologies Pvt Ltd,5
20063599,1014820    M P P Technologies Pvt Ltd,5
20064033,1014820    M P P Technologies Pvt Ltd,5
20053739,1015169    AMS Bhargava Machining Pvt. Ltd.,4
20053324,1014578    Eva Technologies,5
20060729,1015280    Sri Sai Industries Unit-1,15
20098424,1014589    YSL Electronics,35
30002033,1014934    THK India Pvt. Ltd.,30
30002033,1014934    THK India Pvt. Ltd.,30
30001885,1014934    THK India Pvt. Ltd.,40
30002091,1014934    THK India Pvt. Ltd.,40
30002092,1014934    THK India Pvt. Ltd.,40
30001885,1014934    THK India Pvt. Ltd.,40
30002091,1014934    THK India Pvt. Ltd.,40
30002092,1014934    THK India Pvt. Ltd.,40
30001885,1014934    THK India Pvt. Ltd.,16
30002091,1014934    THK India Pvt. Ltd.,16
30002092,1014934    THK India Pvt. Ltd.,16
30002039,1014934    THK India Pvt. Ltd.,30
