Material,Total Qty
10000157,1
10000157,5
10000210,1
10000252,5
10000382,4
10000492,1
10000533,2
10000672,1
10000680,2
10000682,2
10000752,1
10000755,3
10000762,6
10000814,1
10000859,1
10001000,1
10001163,2
10001381,2
10001515,1
10001660,1
10001663,3
10001669,2
10001710,1
10001788,1
10001789,1
10001795,1
10001804,1
10001846,1
10002664,1
10002665,1
10003492,1
10003516,13
10003590,1
10003604,7
10003698,3
10003707,1
10003716,1
10003731,1
10003734,1
10003750,1
10003757,7
10003760,1
10003763,1
10003767,1
10003770,3
10003827,1
10003836,1
10003844,1
10003852,1
10003863,1
10003916,3
10004073,7
10004077,1
10008694,1
10008701,2
10014562,16
10014562,1
10022183,1
10022366,3
10026237,1
10026238,1
10026438,1
10035088,1
10035375,1
10035531,1
10036481,1
10037088,6
10038409,2
10038412,2
10038709,1
10039486,2
10039486,5
10039546,7
10040109,1
10040109,2
10040384,1
10040633,1
10042893,1
10043238,2
10043238,14
10046067,1
10046093,1
10046268,3
10058822,1
10058844,1
10058868,3
10058870,16
10058871,1
10058871,1
10058872,1
10058953,1
10058964,1
10058991,1
10059000,1
10059013,1
10059019,1
10065771,1
10070361,1
10088208,1
10088209,1
10088210,1
10088231,1
10088233,3
10088274,2
10088278,2
10088284,1
10088352,1
10089247,1
10089247,129
10089766,1
10089823,2
10089929,1
10089950,1
10089954,4
10089964,1
10090002,1
10090026,1
10090027,1
10090033,1
10090036,1
10090037,1
10090041,1
10090042,1
10090044,1
10090053,1
10090064,1
10090072,1
10090074,1
10090084,1
10090096,1
10094877,1
10094905,2
10095358,1
10096001,1
10096007,8
10096023,1
10096036,2
10096674,2
10096675,2
10096676,1
10096677,1
10096678,1
10096679,1
10096680,1
10096681,1
10096682,1
10096683,1
10096684,1
10096685,1
10096686,2
10096689,1
10096690,1
10096691,1
10096692,1
10096693,1
10096694,3
10096695,1
10096697,1
10096698,1
10096699,1
10096700,1
10096701,1
10096702,1
10096703,1
10096704,1
10112621,2
10112622,1
10112638,1
10112640,3
10112653,5
10112657,1
10112660,2
10112664,2
10112670,1
10112672,1
10112678,1
10112681,1
10112684,1
10112697,1
10112700,1
10112704,1
10112711,1
10112732,1
10112733,1
10112748,1
10112800,1
10112801,1
10112806,1
10114465,1
10114466,1
10114466,1
10114466,1
10114466,1
10114466,1
10114466,1
10114466,1
10114468,1
10114834,1
10115144,17
10115312,1
10115314,1
10115316,4
10115317,14
10115318,40
10115325,3
10115326,5
10115328,7
10115331,3
10115715,9
10115838,43
10116000,9
10116680,1
10116684,1
10116698,1
10116699,1
10116702,1
10117423,1
10117616,2
10117649,2
10117998,4
20000143,1
20000371,2
20000422,1
20000423,1
20000616,1
20000698,1
20000827,1
20000828,4
20000921,1
20000941,20
20000942,1
20000947,2
20000947,1
20000949,1
20000950,1
20000969,6
20000986,1
20001004,76
20001007,3
20001017,1
20001029,2
20001042,2
20001044,3
20001047,9
20001058,1
20001076,1
20001078,1
20001117,9
20001117,11
20001118,8
20001118,11
20001118,1
20001131,1
20001134,1
20001134,1
20001134,10
20001136,3
20001137,1
20001137,38
20001138,2
20001175,1
20001177,1
20001177,1
20001193,42
20001231,1
20001275,2
20001276,1
20001277,2
20001281,3
20001295,4
20001339,1
20001339,1
20001343,1
20001377,38
20001405,18
20001405,15
20001405,13
20001406,14
20001445,6
20001449,13
20001485,1
20001523,2
20001542,4
20001546,1
